Competition,Team,Opponent,Venue,GF,GA,Win,Draw,Loss,Points,CleanSheet,FailedToScore
SLW,Daystar University Ladies,Gorillas Hockey Club – Ladies,Home,3,1,1,0,0,3,0,0
SLW,Daystar University Ladies,Lakers Hockey Club – B,Home,0,1,0,0,1,0,0,1
SLW,Daystar University Ladies,Wazalendo Pearls,Home,0,3,0,0,1,0,0,1
SLW,GHF Rift Pirates Ladies,Lakers Hockey Club – B,Home,2,1,1,0,0,3,0,0
SLW,GHF Rift Pirates Ladies,Mombasa Sports Club Ladies,Home,2,1,1,0,0,3,0,0
SLW,GHF Rift Pirates Ladies,Twinkle Hockey Club,Home,0,1,0,0,1,0,0,1
SLW,Lakers Hockey Club – B,Gorillas Hockey Club – Ladies,Home,1,0,1,0,0,3,1,0
SLW,Lakers Hockey Club – B,Mombasa Sports Club Ladies,Home,0,0,0,1,0,1,1,1
SLW,Lakers Hockey Club – B,Twinkle Hockey Club,Home,3,3,0,1,0,1,0,0
SLW,Mombasa Sports Club Ladies,Wazalendo Pearls,Home,1,2,0,0,1,0,0,0
SLW,Swans Hockey Club,GHF Rift Pirates Ladies,Home,2,1,1,0,0,3,0,0
SLW,Swans Hockey Club,Lakers Hockey Club – B,Home,0,1,0,0,1,0,0,1
SLW,Swans Hockey Club,Mombasa Sports Club Ladies,Home,1,1,0,1,0,1,0,0
SLW,Swans Hockey Club,Wazalendo Pearls,Home,1,1,0,1,0,1,0,0
SLW,Twinkle Hockey Club,Daystar University Ladies,Home,2,0,1,0,0,3,1,0
SLW,Wazalendo Pearls,GHF Rift Pirates Ladies,Home,2,1,1,0,0,3,0,0
SLW,Wazalendo Pearls,Gorillas Hockey Club – Ladies,Home,2,1,1,0,0,3,0,0
SLW,Wazalendo Pearls,Twinkle Hockey Club,Home,0,1,0,0,1,0,0,1
NLM-EZ,Black Tigers,Daystar University Men,Home,4,1,1,0,0,3,0,0
NLM-EZ,Black Tigers,Gorillas,Home,0,1,0,0,1,0,0,1
NLM-EZ,Black Tigers,Parklands Sports Club – Legacy,Home,2,1,1,0,0,3,0,0
NLM-EZ,Black Tigers,UoN Cubs,Home,1,0,1,0,0,3,1,0
