Position,Competition,Team,Played,Wins,Draws,Losses,GF,GA,GD,Points,GoalsPerMatch,GoalsAgainstPerMatch,AverageGD,PPG,ConcededPerMatch,GDPerMatch,AttackStrength,DefenceStrength,OverallStrength,PointsPerMatch,WinPercentage,DrawPercentage,LossPercentage,RankingScore,OffensiveEfficiency,DefensiveEfficiency,EfficiencyDifference,ScoringRate,ConcedingRate,NetPerformance,PPM,EfficiencyRating,AttackRank,DefenceRank,GDRank,PointsRank,CompositeRating,CompositeRank
7,PLM,Kisumu Youngsters,11,4,2,5,13,14,-1,14,1.18,1.2727272727272727,-0.09,1.27,1.27,-0.09,0.73,1.27,1.0,1.27,36.4,18.2,45.5,1.0,1.18,1.27,-0.09,1.18,1.27,-0.09,1.27,0.59,11,15,16,7,2.59,32
8,PLM,Kenya Police,10,2,6,2,16,17,-1,12,1.6,1.7,-0.1,1.2,1.7,-0.1,0.99,0.95,0.97,1.2,20.0,60.0,20.0,1.11,1.6,1.7,-0.1,1.6,1.7,-0.1,1.2,0.55,8,18,16,9,2.49,34
9,PLM,USIU – A,9,3,1,5,12,15,-3,10,1.33,1.6666666666666667,-0.33,1.11,1.67,-0.33,0.82,0.97,0.9,1.11,33.3,11.1,55.6,1.01,1.33,1.67,-0.34,1.33,1.67,-0.34,1.11,0.38,12,16,18,11,2.17,38
10,PLM,Greensharks,11,0,0,11,5,23,-18,0,0.45,2.090909090909091,-1.64,0.0,2.09,-1.64,0.28,0.77,0.52,0.0,0.0,0.0,100.0,0.33,0.45,2.09,-1.64,0.45,2.09,-1.64,0.0,-0.82,19,22,29,21,0.23,53
1,PLW,Blazers Hockey Club,7,5,2,0,14,3,11,17,2.0,0.4285714285714285,1.57,2.43,0.43,1.57,2.34,2.42,2.38,2.43,71.4,28.6,0.0,1.83,2.0,0.43,1.57,2.0,0.43,1.57,2.43,2.0,10,4,4,4,6.76,6
2,PLW,USIU – A Ladies,8,3,4,1,8,4,4,13,1.0,0.5,0.5,1.62,0.5,0.5,1.17,2.08,1.62,1.62,37.5,50.0,12.5,1.14,1.0,0.5,0.5,1.0,0.5,0.5,1.62,1.06,16,5,11,8,4.31,13
3,PLW,Lakers Hockey Club,6,3,2,1,11,4,7,11,1.83,0.6666666666666666,1.17,1.83,0.67,1.17,2.15,1.56,1.86,1.83,50.0,33.3,16.7,1.65,1.83,0.67,1.16,1.83,0.67,1.16,1.83,1.5,13,5,8,10,5.21,10
4,PLW,Strathmore University Ladies,8,2,4,2,11,8,3,10,1.38,1.0,0.38,1.25,1.0,0.38,1.62,1.04,1.33,1.25,25.0,50.0,25.0,1.3,1.38,1.0,0.38,1.38,1.0,0.38,1.25,0.82,13,9,12,11,3.48,21
5,PLW,Amira Sailors Hockey Club,7,2,3,2,3,5,-2,9,0.43,0.7142857142857143,-0.29,1.29,0.71,-0.29,0.5,1.47,0.98,1.29,28.6,42.9,28.6,0.9,0.43,0.71,-0.28,0.43,0.71,-0.28,1.29,0.5,21,6,17,12,2.47,36
6,PLW,Kisumu Queens,6,1,4,1,3,3,0,7,0.5,0.5,0.0,1.17,0.5,0.0,0.59,2.08,1.34,1.17,16.7,66.7,16.7,0.75,0.5,0.5,0.0,0.5,0.5,0.0,1.17,0.58,21,4,15,14,3.25,25
7,PLW,UON Ladies,6,1,2,3,4,6,-2,5,0.67,1.0,-0.33,0.83,1.0,-0.33,0.79,1.04,0.92,0.83,16.7,33.3,50.0,0.84,0.67,1.0,-0.33,0.67,1.0,-0.33,0.83,0.25,20,7,17,16,2.08,39
8,PLW,Sliders Hockey Club,9,1,2,6,2,19,-17,5,0.22,2.111111111111111,-1.89,0.56,2.11,-1.89,0.26,0.49,0.38,0.56,11.1,22.2,66.7,0.66,0.22,2.11,-1.89,0.22,2.11,-1.89,0.56,-0.66,22,20,28,16,0.09,54
9,PLW,Kenyatta University Ladies,2,0,1,1,1,3,-2,1,0.5,1.5,-1.0,0.5,1.5,-1.0,0.59,0.69,0.64,0.5,0.0,50.0,50.0,0.69,0.5,1.5,-1.0,0.5,1.5,-1.0,0.5,-0.25,23,4,17,20,1.03,49
10,PLW,JKUAT Ladies,1,0,0,1,0,2,-2,0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,0.52,0.26,0.0,0.0,0.0,100.0,0.3,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,-1.0,24,3,17,21,-0.48,58
1,SLM,KCA University,8,6,0,2,25,9,16,18,3.12,1.125,2.0,2.25,1.12,2.0,1.74,1.57,1.66,2.25,75.0,0.0,25.0,1.73,3.12,1.12,2.0,3.12,1.12,2.0,2.25,2.12,2,10,1,3,5.43,8
2,SLM,Strathmore University,6,4,2,0,16,6,10,14,2.67,1.0,1.67,2.33,1.0,1.67,1.48,1.76,1.62,2.33,66.7,33.3,0.0,1.66,2.67,1.0,1.67,2.67,1.0,1.67,2.33,2.0,8,7,5,7,5.24,9
3,SLM,Mvita XI,5,3,2,0,12,7,5,11,2.4,1.4,1.0,2.2,1.4,1.0,1.33,1.26,1.3,2.2,60.0,40.0,0.0,1.65,2.4,1.4,1.0,2.4,1.4,1.0,2.2,1.6,12,8,10,10,4.19,15
4,SLM,Impala,8,2,5,1,17,19,-2,11,2.12,2.375,-0.25,1.38,2.38,-0.25,1.18,0.74,0.96,1.38,25.0,62.5,12.5,1.3,2.12,2.38,-0.26,2.12,2.38,-0.26,1.38,0.56,7,20,17,10,2.48,35
5,SLM,Parkroad Tigers,6,3,0,3,9,17,-8,9,1.5,2.833333333333333,-1.33,1.5,2.83,-1.33,0.83,0.62,0.72,1.5,50.0,0.0,50.0,1.27,1.5,2.83,-1.33,1.5,2.83,-1.33,1.5,0.08,15,18,23,12,1.53,43
6,SLM,GHF Blue Pirates,4,2,1,1,4,3,1,7,1.0,0.75,0.25,1.75,0.75,0.25,0.56,2.34,1.45,1.75,50.0,25.0,25.0,0.98,1.0,0.75,0.25,1.0,0.75,0.25,1.75,1.0,20,4,14,14,3.9,19
7,SLM,UON Men,6,2,1,3,7,10,-3,7,1.17,1.6666666666666667,-0.5,1.17,1.67,-0.5,0.65,1.05,0.85,1.17,33.3,16.7,50.0,0.97,1.17,1.67,-0.5,1.17,1.67,-0.5,1.17,0.34,17,11,18,14,2.04,41
8,SLM,Parkroad Badgers,7,2,0,5,13,17,-4,6,1.86,2.4285714285714284,-0.57,0.86,2.43,-0.57,1.03,0.72,0.88,0.86,28.6,0.0,71.4,1.0,1.86,2.43,-0.57,1.86,2.43,-0.57,0.86,0.15,11,18,19,15,1.9,42
9,SLM,Wazalendo Masters,9,1,2,6,9,18,-9,5,1.0,2.0,-1.0,0.56,2.0,-1.0,0.56,0.88,0.72,0.56,11.1,22.2,66.7,0.67,1.0,2.0,-1.0,1.0,2.0,-1.0,0.56,-0.22,15,19,24,16,1.22,46
10,SLM,Nakuru Hockey Club,7,0,3,4,8,14,-6,3,1.14,2.0,-0.86,0.43,2.0,-0.86,0.63,0.88,0.76,0.43,0.0,42.9,57.1,0.63,1.14,2.0,-0.86,1.14,2.0,-0.86,0.43,-0.22,16,15,21,18,1.29,45
1,SLW,Twinkle Hockey Club,5,4,1,0,13,3,10,13,2.6,0.6,2.0,2.6,0.6,2.0,2.39,2.87,2.63,2.6,80.0,20.0,0.0,1.84,2.6,0.6,2.0,2.6,0.6,2.0,2.6,2.3,11,4,5,8,7.56,5
2,SLW,Wazalendo Pearls,6,4,1,1,10,5,5,13,1.67,0.8333333333333334,0.83,2.17,0.83,0.83,1.54,2.07,1.8,2.17,66.7,16.7,16.7,1.53,1.67,0.83,0.84,1.67,0.83,0.84,2.17,1.5,14,6,10,8,5.11,11
3,SLW,Lakers Hockey Club – B,6,3,2,1,7,5,2,11,1.17,0.8333333333333334,0.33,1.83,0.83,0.33,1.08,2.07,1.58,1.83,50.0,33.3,16.7,1.23,1.17,0.83,0.34,1.17,0.83,0.34,1.83,1.08,17,6,13,10,4.23,14
4,SLW,GHF Rift Pirates Ladies,6,3,0,3,8,7,1,9,1.33,1.1666666666666667,0.17,1.5,1.17,0.17,1.22,1.47,1.34,1.5,50.0,0.0,50.0,1.22,1.33,1.17,0.16,1.33,1.17,0.16,1.5,0.83,16,8,14,12,3.52,20
5,SLW,Swans Hockey Club,4,1,2,1,4,4,0,5,1.0,1.0,0.0,1.25,1.0,0.0,0.92,1.72,1.32,1.25,25.0,50.0,25.0,0.96,1.0,1.0,0.0,1.0,1.0,0.0,1.25,0.62,20,5,15,16,3.26,24
6,SLW,Daystar University Ladies,5,1,0,4,3,9,-6,3,0.6,1.8,-1.2,0.6,1.8,-1.2,0.55,0.96,0.76,0.6,20.0,0.0,80.0,0.67,0.6,1.8,-1.2,0.6,1.8,-1.2,0.6,-0.3,21,10,21,18,1.21,47
7,SLW,Mombasa Sports Club Ladies,4,0,2,2,3,5,-2,2,0.75,1.25,-0.5,0.5,1.25,-0.5,0.69,1.38,1.03,0.5,0.0,50.0,50.0,0.58,0.75,1.25,-0.5,0.75,1.25,-0.5,0.5,0.0,21,6,17,19,2.07,40
8,SLW,Gorillas Hockey Club – Ladies,3,0,0,3,2,6,-4,0,0.67,2.0,-1.33,0.0,2.0,-1.33,0.62,0.86,0.74,0.0,0.0,0.0,100.0,0.41,0.67,2.0,-1.33,0.67,2.0,-1.33,0.0,-0.66,22,7,19,21,0.82,51
9,SLW,Black Tigresses,1,0,0,1,0,6,-6,0,0.0,6.0,-6.0,0.0,6.0,-6.0,0.0,0.29,0.14,0.0,0.0,0.0,100.0,0.34,0.0,6.0,-6.0,0.0,6.0,-6.0,0.0,-3.0,24,7,21,21,-2.71,61
