Competition_x,Season,MatchNo,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,URL,TotalGoals,Competition_y,HomeStrength,Competition,AwayStrength,StrengthDifference,GoalDifference,Outcome
PLM,2026,5.0,23-05-2026,14:00,Greensharks,Parklands Sports Club,0,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-parklands-sports-club/,2,PLM,0.52,PLM,0.94,-0.42,-2,Away Win
PLM,2026,,05-07-2026,16:00,Greensharks,USIU – A,0,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-usiu-a/,2,PLM,0.52,PLM,0.9,-0.38,-2,Away Win
PLM,2026,,04-07-2026,13:00,Greensharks,Wazalendo,1,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-wazalendo/,3,PLM,0.52,PLM,1.03,-0.51,-1,Away Win
PLM,2026,23.0,31-05-2026,11:00,Greensharks,Western Jaguars,0,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-western-jaguars/,3,PLM,0.52,PLM,1.42,-0.9,-3,Away Win
PLM,2026,,27-06-2026,13:00,Kenya Police,Greensharks,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-greensharks/,1,PLM,0.97,PLM,0.52,0.45,1,Home Win
PLM,2026,53.0,14-06-2026,10:00,Kenya Police,Kisumu Youngsters,3,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-kisumu-youngsters/,6,PLM,0.97,PLM,1.0,-0.03,0,Draw
PLM,2026,29.0,06-06-2026,15:00,Kenya Police,Sikh Union Nairobi,2,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-sikh-union-nairobi/,5,PLM,0.97,PLM,1.16,-0.19,-1,Away Win
PLM,2026,6.0,23-05-2026,14:00,Kenya Police,USIU – A,2,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-usiu-a/,4,PLM,0.97,PLM,0.9,0.07,0,Draw
PLM,2026,,29-08-2026,16:00,Kenya Police,Warriors,2,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-warriors/,4,PLM,0.97,PLM,1.28,-0.31,0,Draw
PLM,2026,,28-06-2026,13:00,Kenya Police,Wazalendo,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-wazalendo/,3,PLM,0.97,PLM,1.03,-0.06,1,Home Win
PLM,2026,50.0,13-06-2026,14:00,Kenya Police,Western Jaguars,0,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-western-jaguars/,0,PLM,0.97,PLM,1.42,-0.45,0,Draw
PLM,2026,51.0,13-06-2026,15:00,Kisumu Youngsters,Daikyo Heroes,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-daikyo-heroes/,1,PLM,1.0,PLM,0.93,0.07,-1,Away Win
PLM,2026,,30-08-2026,09:00,Kisumu Youngsters,Greensharks,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-greensharks/,3,PLM,1.0,PLM,0.52,0.48,1,Home Win
PLM,2026,37.0,06-06-2026,14:00,Kisumu Youngsters,Parklands Sports Club,1,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-parklands-sports-club/,3,PLM,1.0,PLM,0.94,0.06,-1,Away Win
PLM,2026,,20-06-2026,13:00,Kisumu Youngsters,Sikh Union Nairobi,1,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-sikh-union-nairobi/,2,PLM,1.0,PLM,1.16,-0.16,0,Draw
PLM,2026,46.0,07-06-2026,11:00,Kisumu Youngsters,USIU – A,2,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-usiu-a/,2,PLM,1.0,PLM,0.9,0.1,2,Home Win
PLM,2026,,21-06-2026,09:00,Kisumu Youngsters,Warriors,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-warriors/,1,PLM,1.0,PLM,1.28,-0.28,1,Home Win
PLM,2026,,29-08-2026,14:00,Kisumu Youngsters,Wazalendo,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-wazalendo/,1,PLM,1.0,PLM,1.03,-0.03,-1,Away Win
PLM,2026,19.0,30-05-2026,14:00,Parklands Sports Club,Daikyo Heroes,1,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-parklands-sports-club-vs-daikyo-heroes/,4,PLM,0.94,PLM,0.93,0.01,-2,Away Win
PLM,2026,24.0,31-05-2026,13:00,Parklands Sports Club,Kenya Police,2,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-parklands-sports-club-vs-kenya-police/,4,PLM,0.94,PLM,0.97,-0.03,0,Draw
PLM,2026,49.0,13-06-2026,13:00,Parklands Sports Club,Warriors,1,4,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-parklands-sports-club-vs-warriors/,5,PLM,0.94,PLM,1.28,-0.34,-3,Away Win
PLM,2026,21.0,31-05-2026,09:00,Sikh Union Nairobi,Daikyo Heroes,6,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-sikh-union-nairobi-vs-daikyo-heroes/,9,PLM,1.16,PLM,0.93,0.23,3,Home Win
PLM,2026,13.0,24-05-2026,13:00,Sikh Union Nairobi,Greensharks,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-sikh-union-nairobi-vs-greensharks/,1,PLM,1.16,PLM,0.52,0.64,1,Home Win
PLM,2026,,27-06-2026,15:00,Sikh Union Nairobi,Parklands Sports Club,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-sikh-union-nairobi-vs-parklands-sports-club/,4,PLM,1.16,PLM,0.94,0.22,2,Home Win
PLM,2026,54.0,14-06-2026,11:00,Sikh Union Nairobi,Warriors,1,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-sikh-union-nairobi-vs-warriors/,3,PLM,1.16,PLM,1.28,-0.12,-1,Away Win
PLM,2026,,04-07-2026,15:00,USIU – A,Daikyo Heroes,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-usiu-a-vs-daikyo-heroes/,1,PLM,0.9,PLM,0.93,-0.03,1,Home Win
PLM,2026,31.0,14-06-2026,13:00,USIU – A,Parklands Sports Club,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-usiu-a-vs-parklands-sports-club/,3,PLM,0.9,PLM,0.94,-0.04,1,Home Win
PLM,2026,18.0,30-05-2026,14:00,USIU – A,Sikh Union Nairobi,2,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-usiu-a-vs-sikh-union-nairobi/,5,PLM,0.9,PLM,1.16,-0.26,-1,Away Win
PLM,2026,11.0,24-05-2026,12:00,USIU – A,Wazalendo,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-usiu-a-vs-wazalendo/,1,PLM,0.9,PLM,1.03,-0.13,-1,Away Win
PLM,2026,,05-07-2026,11:00,Warriors,Daikyo Heroes,4,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-daikyo-heroes/,4,PLM,1.28,PLM,0.93,0.35,4,Home Win
PLM,2026,,28-06-2026,15:00,Warriors,Greensharks,3,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-greensharks/,5,PLM,1.28,PLM,0.52,0.76,1,Home Win
PLM,2026,16.0,24-05-2026,15:00,Warriors,Kenya Police,1,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-kenya-police/,2,PLM,1.28,PLM,0.97,0.31,0,Draw
PLM,2026,25.0,31-05-2026,15:00,Warriors,USIU – A,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-usiu-a/,3,PLM,1.28,PLM,0.9,0.38,1,Home Win
PLM,2026,8.0,23-05-2026,16:00,Warriors,Wazalendo,3,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-wazalendo/,6,PLM,1.28,PLM,1.03,0.25,0,Draw
PLM,2026,22.0,31-05-2026,10:00,Wazalendo,Kisumu Youngsters,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-wazalendo-vs-kisumu-youngsters/,4,PLM,1.03,PLM,1.0,0.03,2,Home Win
PLM,2026,,05-07-2026,15:00,Wazalendo,Parklands Sports Club,1,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-wazalendo-vs-parklands-sports-club/,3,PLM,1.03,PLM,0.94,0.09,-1,Away Win
PLM,2026,48.0,13-06-2026,13:00,Wazalendo,Sikh Union Nairobi,1,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-wazalendo-vs-sikh-union-nairobi/,2,PLM,1.03,PLM,1.16,-0.13,0,Draw
PLM,2026,17.0,30-05-2026,14:00,Wazalendo,Western Jaguars,3,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-wazalendo-vs-western-jaguars/,5,PLM,1.03,PLM,1.42,-0.39,1,Home Win
PLM,2026,52.0,14-06-2026,09:00,Western Jaguars,Daikyo Heroes,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-daikyo-heroes/,4,PLM,1.42,PLM,0.93,0.49,2,Home Win
PLM,2026,,29-08-2026,14:00,Western Jaguars,Greensharks,3,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-greensharks/,3,PLM,1.42,PLM,0.52,0.9,3,Home Win
PLM,2026,4.0,23-05-2026,13:00,Western Jaguars,Kisumu Youngsters,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-kisumu-youngsters/,3,PLM,1.42,PLM,1.0,0.42,1,Home Win
PLM,2026,45.0,07-06-2026,10:00,Western Jaguars,Parklands Sports Club,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-parklands-sports-club/,1,PLM,1.42,PLM,0.94,0.48,-1,Away Win
PLM,2026,,21-06-2026,10:00,Western Jaguars,Sikh Union Nairobi,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-sikh-union-nairobi/,4,PLM,1.42,PLM,1.16,0.26,2,Home Win
PLM,2026,36.0,06-06-2026,13:00,Western Jaguars,USIU – A,4,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-usiu-a/,6,PLM,1.42,PLM,0.9,0.52,2,Home Win
PLM,2026,,20-06-2026,13:00,Western Jaguars,Warriors,3,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-warriors/,6,PLM,1.42,PLM,1.28,0.14,0,Draw
PLM,2026,,30-08-2026,09:00,Western Jaguars,Wazalendo,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-wazalendo/,4,PLM,1.42,PLM,1.03,0.39,2,Home Win
SLM,2026,,18-07-2026,15:30,GHF Blue Pirates,Mvita XI,0,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-ghf-blue-pirates-vs-mvita-xi/,2,SLM,1.45,SLM,1.3,0.15,-2,Away Win
SLM,2026,,19-07-2026,11:00,Impala,GHF Blue Pirates,1,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-impala-vs-ghf-blue-pirates/,2,SLM,0.96,SLM,1.45,-0.49,0,Draw
SLM,2026,,18-07-2026,12:20,Impala,Parkroad Badgers,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-impala-vs-parkroad-badgers/,3,SLM,0.96,SLM,0.88,0.08,1,Home Win
SLM,2026,,14-06-2026,11:00,Impala,UON Men,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-impala-vs-uon-men/,3,SLM,0.96,SLM,0.85,0.11,1,Home Win
SLM,2026,,13-06-2026,15:00,Impala,Wazalendo Masters,3,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-impala-vs-wazalendo-masters/,6,SLM,0.96,SLM,0.72,0.24,0,Draw
SLM,2026,,05-07-2026,13:00,KCA University,Impala,4,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-kca-university-vs-impala/,4,SLM,1.66,SLM,0.96,0.7,4,Home Win
SLM,2026,,27-06-2026,13:00,KCA University,Mvita XI,1,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-kca-university-vs-mvita-xi/,3,SLM,1.66,SLM,1.3,0.36,-1,Away Win
SLM,2026,,18-07-2026,15:00,KCA University,Nakuru Hockey Club,4,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-kca-university-vs-nakuru-hockey-club/,6,SLM,1.66,SLM,0.76,0.9,2,Home Win
SLM,2026,,19-07-2026,13:00,KCA University,Strathmore University,1,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-kca-university-vs-strathmore-university/,3,SLM,1.66,SLM,1.62,0.04,-1,Away Win
SLM,2026,,21-06-2026,09:00,Mvita XI,Impala,4,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-mvita-xi-vs-impala/,8,SLM,1.3,SLM,0.96,0.34,0,Draw
SLM,2026,,19-07-2026,13:00,Mvita XI,Nakuru Hockey Club,2,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-mvita-xi-vs-nakuru-hockey-club/,4,SLM,1.3,SLM,0.76,0.54,0,Draw
SLM,2026,,20-06-2026,14:00,Mvita XI,Wazalendo Masters,2,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-mvita-xi-vs-wazalendo-masters/,2,SLM,1.3,SLM,0.72,0.58,2,Home Win
SLM,2026,,04-07-2026,13:00,Nakuru Hockey Club,GHF Blue Pirates,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-nakuru-hockey-club-vs-ghf-blue-pirates/,1,SLM,0.76,SLM,1.45,-0.69,-1,Away Win
SLM,2026,,12-07-2026,11:00,Nakuru Hockey Club,Impala,2,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-nakuru-hockey-club-vs-impala/,4,SLM,0.76,SLM,0.96,-0.2,0,Draw
SLM,2026,,11-07-2026,13:00,Nakuru Hockey Club,Wazalendo Masters,1,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-nakuru-hockey-club-vs-wazalendo-masters/,2,SLM,0.76,SLM,0.72,0.04,0,Draw
