Competition,Date,Team,Opponent,GF,GA,Venue,Win,Draw,Loss,Points,Last5Points
NLM-SZ,2026-06-20,Oyugis Hockey Club,Bay Club,0,2,Home,0,0,1,0,
NLM-WZ,2026-06-06,Fire Flickers,Lakers Hockey Club Men,1,1,Home,0,1,0,1,
NLM-WZ,2026-06-14,Fire Flickers,Nandi Hawks,0,1,Away,0,0,1,0,
NLM-WZ,2026-06-21,Fire Flickers,GHF Blue Pirates II,3,1,Home,1,0,0,3,
NLM-WZ,2026-07-18,Fire Flickers,Kitale Hockey Club,1,2,Home,0,0,1,0,
NLM-WZ,2026-06-14,GHF Blue Pirates II,Kitale Hockey Club,2,3,Home,0,0,1,0,
NLM-WZ,2026-06-20,GHF Blue Pirates II,Lakers Hockey Club Men,0,1,Away,0,0,1,0,
NLM-WZ,2026-06-21,GHF Blue Pirates II,Fire Flickers,1,3,Away,0,0,1,0,
NLM-WZ,2026-06-27,GHF Blue Pirates II,Nandi Hawks,2,2,Home,0,1,0,1,
NLM-WZ,2026-06-14,Kitale Hockey Club,GHF Blue Pirates II,3,2,Away,1,0,0,3,
NLM-WZ,2026-07-12,Kitale Hockey Club,Nandi Hawks,7,0,Home,1,0,0,3,
NLM-WZ,2026-07-18,Kitale Hockey Club,Fire Flickers,2,1,Away,1,0,0,3,
NLM-WZ,2026-07-19,Kitale Hockey Club,Lakers Hockey Club Men,1,0,Away,1,0,0,3,
NLM-WZ,2026-07-19,Kitale Hockey Club,Western Jaguars Dev,2,0,Away,1,0,0,3,15.0
NLM-WZ,2026-06-06,Lakers Hockey Club Men,Fire Flickers,1,1,Away,0,1,0,1,
NLM-WZ,2026-06-20,Lakers Hockey Club Men,GHF Blue Pirates II,1,0,Home,1,0,0,3,
NLM-WZ,2026-07-05,Lakers Hockey Club Men,Nandi Hawks,2,1,Away,1,0,0,3,
NLM-WZ,2026-07-19,Lakers Hockey Club Men,Kitale Hockey Club,0,1,Home,0,0,1,0,
NLM-WZ,2026-06-14,Nandi Hawks,Fire Flickers,1,0,Home,1,0,0,3,
NLM-WZ,2026-06-27,Nandi Hawks,GHF Blue Pirates II,2,2,Away,0,1,0,1,
NLM-WZ,2026-07-05,Nandi Hawks,Lakers Hockey Club Men,1,2,Home,0,0,1,0,
NLM-WZ,2026-07-12,Nandi Hawks,Kitale Hockey Club,0,7,Away,0,0,1,0,
NLM-WZ,2026-07-19,Western Jaguars Dev,Kitale Hockey Club,0,2,Home,0,0,1,0,
PLM,2026-05-30,Daikyo Heroes,Parklands Sports Club,3,1,Away,1,0,0,3,
PLM,2026-05-31,Daikyo Heroes,Sikh Union Nairobi,3,6,Away,0,0,1,0,
PLM,2026-06-07,Daikyo Heroes,Greensharks,3,1,Home,1,0,0,3,
PLM,2026-06-13,Daikyo Heroes,Kisumu Youngsters,1,0,Away,1,0,0,3,
PLM,2026-06-14,Daikyo Heroes,Western Jaguars,1,3,Away,0,0,1,0,9.0
PLM,2026-06-20,Daikyo Heroes,Kenya Police,3,1,Home,1,0,0,3,9.0
PLM,2026-06-21,Daikyo Heroes,Wazalendo,3,2,Home,1,0,0,3,12.0
PLM,2026-07-04,Daikyo Heroes,USIU – A,0,1,Away,0,0,1,0,9.0
PLM,2026-07-05,Daikyo Heroes,Warriors,0,4,Away,0,0,1,0,6.0
PLM,2026-08-29,Daikyo Heroes,Sikh Union Nairobi,1,1,Home,0,1,0,1,7.0
PLM,2026-08-30,Daikyo Heroes,Parklands Sports Club,0,1,Home,0,0,1,0,4.0
PLM,2026-05-23,Greensharks,Parklands Sports Club,0,2,Home,0,0,1,0,
PLM,2026-05-24,Greensharks,Sikh Union Nairobi,0,1,Away,0,0,1,0,
PLM,2026-05-30,Greensharks,Kisumu Youngsters,0,1,Home,0,0,1,0,
PLM,2026-05-31,Greensharks,Western Jaguars,0,3,Home,0,0,1,0,
PLM,2026-06-07,Greensharks,Daikyo Heroes,1,3,Away,0,0,1,0,0.0
PLM,2026-06-27,Greensharks,Kenya Police,0,1,Away,0,0,1,0,0.0
PLM,2026-06-28,Greensharks,Warriors,2,3,Away,0,0,1,0,0.0
PLM,2026-07-04,Greensharks,Wazalendo,1,2,Home,0,0,1,0,0.0
PLM,2026-07-05,Greensharks,USIU – A,0,2,Home,0,0,1,0,0.0
PLM,2026-08-29,Greensharks,Western Jaguars,0,3,Away,0,0,1,0,0.0
PLM,2026-08-30,Greensharks,Kisumu Youngsters,1,2,Away,0,0,1,0,0.0
PLM,2026-05-23,Kenya Police,USIU – A,2,2,Home,0,1,0,1,
PLM,2026-05-24,Kenya Police,Warriors,1,1,Away,0,1,0,1,
PLM,2026-05-31,Kenya Police,Parklands Sports Club,2,2,Away,0,1,0,1,
PLM,2026-06-06,Kenya Police,Sikh Union Nairobi,2,3,Home,0,0,1,0,
PLM,2026-06-13,Kenya Police,Western Jaguars,0,0,Home,0,1,0,1,4.0
PLM,2026-06-14,Kenya Police,Kisumu Youngsters,3,3,Home,0,1,0,1,4.0
PLM,2026-06-20,Kenya Police,Daikyo Heroes,1,3,Away,0,0,1,0,3.0
PLM,2026-06-27,Kenya Police,Greensharks,1,0,Home,1,0,0,3,5.0
PLM,2026-06-28,Kenya Police,Wazalendo,2,1,Home,1,0,0,3,8.0
PLM,2026-08-29,Kenya Police,Warriors,2,2,Home,0,1,0,1,8.0
PLM,2026-05-23,Kisumu Youngsters,Western Jaguars,1,2,Away,0,0,1,0,
PLM,2026-05-30,Kisumu Youngsters,Greensharks,1,0,Away,1,0,0,3,
PLM,2026-05-31,Kisumu Youngsters,Wazalendo,1,3,Away,0,0,1,0,
PLM,2026-06-06,Kisumu Youngsters,Parklands Sports Club,1,2,Home,0,0,1,0,
PLM,2026-06-07,Kisumu Youngsters,USIU – A,2,0,Home,1,0,0,3,6.0
PLM,2026-06-13,Kisumu Youngsters,Daikyo Heroes,0,1,Home,0,0,1,0,6.0
PLM,2026-06-14,Kisumu Youngsters,Kenya Police,3,3,Away,0,1,0,1,4.0
PLM,2026-06-20,Kisumu Youngsters,Sikh Union Nairobi,1,1,Home,0,1,0,1,5.0
PLM,2026-06-21,Kisumu Youngsters,Warriors,1,0,Home,1,0,0,3,8.0
PLM,2026-08-29,Kisumu Youngsters,Wazalendo,0,1,Home,0,0,1,0,5.0
PLM,2026-08-30,Kisumu Youngsters,Greensharks,2,1,Home,1,0,0,3,8.0
PLM,2026-05-23,Parklands Sports Club,Greensharks,2,0,Away,1,0,0,3,
PLM,2026-05-30,Parklands Sports Club,Daikyo Heroes,1,3,Home,0,0,1,0,
PLM,2026-05-31,Parklands Sports Club,Kenya Police,2,2,Home,0,1,0,1,
PLM,2026-06-06,Parklands Sports Club,Kisumu Youngsters,2,1,Away,1,0,0,3,
PLM,2026-06-07,Parklands Sports Club,Western Jaguars,1,0,Away,1,0,0,3,10.0
PLM,2026-06-13,Parklands Sports Club,Warriors,1,4,Home,0,0,1,0,7.0
PLM,2026-06-14,Parklands Sports Club,USIU – A,1,2,Away,0,0,1,0,7.0
PLM,2026-06-27,Parklands Sports Club,Sikh Union Nairobi,1,3,Away,0,0,1,0,6.0
PLM,2026-07-05,Parklands Sports Club,Wazalendo,2,1,Away,1,0,0,3,6.0
PLM,2026-08-30,Parklands Sports Club,Daikyo Heroes,1,0,Away,1,0,0,3,6.0
PLM,2026-05-24,Sikh Union Nairobi,Greensharks,1,0,Home,1,0,0,3,
PLM,2026-05-30,Sikh Union Nairobi,USIU – A,3,2,Away,1,0,0,3,
PLM,2026-05-31,Sikh Union Nairobi,Daikyo Heroes,6,3,Home,1,0,0,3,
PLM,2026-06-06,Sikh Union Nairobi,Kenya Police,3,2,Away,1,0,0,3,
PLM,2026-06-13,Sikh Union Nairobi,Wazalendo,1,1,Away,0,1,0,1,13.0
PLM,2026-06-14,Sikh Union Nairobi,Warriors,1,2,Home,0,0,1,0,10.0
PLM,2026-06-20,Sikh Union Nairobi,Kisumu Youngsters,1,1,Away,0,1,0,1,8.0
PLM,2026-06-21,Sikh Union Nairobi,Western Jaguars,1,3,Away,0,0,1,0,5.0
PLM,2026-06-27,Sikh Union Nairobi,Parklands Sports Club,3,1,Home,1,0,0,3,5.0
PLM,2026-08-29,Sikh Union Nairobi,Daikyo Heroes,1,1,Away,0,1,0,1,5.0
PLM,2026-05-23,USIU – A,Kenya Police,2,2,Away,0,1,0,1,
PLM,2026-05-24,USIU – A,Wazalendo,0,1,Home,0,0,1,0,
PLM,2026-05-30,USIU – A,Sikh Union Nairobi,2,3,Home,0,0,1,0,
PLM,2026-05-31,USIU – A,Warriors,1,2,Away,0,0,1,0,
PLM,2026-06-06,USIU – A,Western Jaguars,2,4,Away,0,0,1,0,1.0
PLM,2026-06-07,USIU – A,Kisumu Youngsters,0,2,Away,0,0,1,0,0.0
PLM,2026-06-14,USIU – A,Parklands Sports Club,2,1,Home,1,0,0,3,3.0
PLM,2026-07-04,USIU – A,Daikyo Heroes,1,0,Home,1,0,0,3,6.0
PLM,2026-07-05,USIU – A,Greensharks,2,0,Away,1,0,0,3,9.0
PLM,2026-05-23,Warriors,Wazalendo,3,3,Home,0,1,0,1,
PLM,2026-05-24,Warriors,Kenya Police,1,1,Home,0,1,0,1,
PLM,2026-05-31,Warriors,USIU – A,2,1,Home,1,0,0,3,
PLM,2026-06-13,Warriors,Parklands Sports Club,4,1,Away,1,0,0,3,
PLM,2026-06-14,Warriors,Sikh Union Nairobi,2,1,Away,1,0,0,3,11.0
PLM,2026-06-20,Warriors,Western Jaguars,3,3,Away,0,1,0,1,11.0
PLM,2026-06-21,Warriors,Kisumu Youngsters,0,1,Away,0,0,1,0,10.0
PLM,2026-06-28,Warriors,Greensharks,3,2,Home,1,0,0,3,10.0
PLM,2026-07-05,Warriors,Daikyo Heroes,4,0,Home,1,0,0,3,10.0
PLM,2026-08-29,Warriors,Kenya Police,2,2,Away,0,1,0,1,8.0
PLM,2026-05-23,Wazalendo,Warriors,3,3,Away,0,1,0,1,
PLM,2026-05-24,Wazalendo,USIU – A,1,0,Away,1,0,0,3,
PLM,2026-05-30,Wazalendo,Western Jaguars,3,2,Home,1,0,0,3,
PLM,2026-05-31,Wazalendo,Kisumu Youngsters,3,1,Home,1,0,0,3,
PLM,2026-06-13,Wazalendo,Sikh Union Nairobi,1,1,Home,0,1,0,1,11.0
PLM,2026-06-21,Wazalendo,Daikyo Heroes,2,3,Away,0,0,1,0,10.0
PLM,2026-06-28,Wazalendo,Kenya Police,1,2,Away,0,0,1,0,7.0
PLM,2026-07-04,Wazalendo,Greensharks,2,1,Away,1,0,0,3,7.0
PLM,2026-07-05,Wazalendo,Parklands Sports Club,1,2,Home,0,0,1,0,4.0
PLM,2026-08-29,Wazalendo,Kisumu Youngsters,1,0,Away,1,0,0,3,6.0
