Competition,Team,Player,Goals,CompMeanGoals,CompStdGoals,ZScore
PLM,Kisumu Youngsters,Moses Isigi Ooga,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Parklands Sports Club,Erick Kidwaro,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Parklands Sports Club,Moses Omamu,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Parklands Sports Club,Valentine Keya,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Sikh Union Nairobi,Fofana Mohammed,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Sikh Union Nairobi,Havrir Chataurhae Singh,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Sikh Union Nairobi,James Muthii Mwangi,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Sikh Union Nairobi,Kit Garner,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,USIU – A,Borris Lukurito,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,USIU – A,Brian Ogeche,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,USIU – A,Newton Mwangaza,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,USIU – A,Robinson Omutekete,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,USIU – A,Wayne Kipkorir Chongwony,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Warriors,Francis Kariuki,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Warriors,Frankline Wakhongo,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Warriors,George Mutira,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Warriors,Paul Omariba,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Wazalendo,Austin Mutua,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Wazalendo,Isaac Nandukele,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Western Jaguars,Charles Otieno,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Western Jaguars,Derrick Juma,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Western Jaguars,Ivan Ludiali,1,1.7166666666666666,1.0430019690032386,-0.69
PLW,Blazers Hockey Club,Audrey Omaido,2,1.3125,0.47871355387816905,1.44
PLW,Blazers Hockey Club,Carol Guchu,2,1.3125,0.47871355387816905,1.44
PLW,Blazers Hockey Club,Joan Anjao,2,1.3125,0.47871355387816905,1.44
PLW,Strathmore University Ladies,Grace Bwire,2,1.3125,0.47871355387816905,1.44
PLW,USIU – A Ladies,Lynn Mwangi,2,1.3125,0.47871355387816905,1.44
PLW,Amira Sailors Hockey Club,Yvette Kanyadong,1,1.3125,0.47871355387816905,-0.65
PLW,Blazers Hockey Club,Amanda Ijai,1,1.3125,0.47871355387816905,-0.65
PLW,Blazers Hockey Club,Vivian Onyango,1,1.3125,0.47871355387816905,-0.65
PLW,Kenyatta University Ladies,Jochebed Cherono,1,1.3125,0.47871355387816905,-0.65
PLW,Lakers Hockey Club,Maurine Owiti,1,1.3125,0.47871355387816905,-0.65
PLW,Sliders Hockey Club,Margaret Mawombe,1,1.3125,0.47871355387816905,-0.65
PLW,Strathmore University Ladies,Nichole Joy,1,1.3125,0.47871355387816905,-0.65
PLW,UON Ladies,Clementine Sims,1,1.3125,0.47871355387816905,-0.65
PLW,UON Ladies,Mitchelle Akoth,1,1.3125,0.47871355387816905,-0.65
PLW,UON Ladies,Noela Kimathi,1,1.3125,0.47871355387816905,-0.65
PLW,USIU – A Ladies,Grace Makoha,1,1.3125,0.47871355387816905,-0.65
