Competition,Season,MatchNo,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,URL
PLM,2026,36.0,06-06-2026,13:00,Western Jaguars,USIU – A,4,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-usiu-a/
PLM,2026,,20-06-2026,13:00,Western Jaguars,Warriors,3,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-warriors/
SLM,2026,,18-07-2026,15:30,GHF Blue Pirates,Mvita XI,0,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-ghf-blue-pirates-vs-mvita-xi/
SLM,2026,,19-07-2026,11:00,Impala,GHF Blue Pirates,1,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-impala-vs-ghf-blue-pirates/
SLM,2026,,18-07-2026,12:20,Impala,Parkroad Badgers,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-impala-vs-parkroad-badgers/
SLM,2026,,14-06-2026,11:00,Impala,UON Men,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-impala-vs-uon-men/
SLM,2026,,13-06-2026,15:00,Impala,Wazalendo Masters,3,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-impala-vs-wazalendo-masters/
SLM,2026,,05-07-2026,13:00,KCA University,Impala,4,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-kca-university-vs-impala/
SLM,2026,,27-06-2026,13:00,KCA University,Mvita XI,1,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-kca-university-vs-mvita-xi/
SLM,2026,,18-07-2026,15:00,KCA University,Nakuru Hockey Club,4,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-kca-university-vs-nakuru-hockey-club/
SLM,2026,,19-07-2026,13:00,KCA University,Strathmore University,1,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-kca-university-vs-strathmore-university/
SLM,2026,,21-06-2026,09:00,Mvita XI,Impala,4,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-mvita-xi-vs-impala/
SLM,2026,,19-07-2026,13:00,Mvita XI,Nakuru Hockey Club,2,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-mvita-xi-vs-nakuru-hockey-club/
SLM,2026,,20-06-2026,14:00,Mvita XI,Wazalendo Masters,2,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-mvita-xi-vs-wazalendo-masters/
SLM,2026,,04-07-2026,13:00,Nakuru Hockey Club,GHF Blue Pirates,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-nakuru-hockey-club-vs-ghf-blue-pirates/
SLM,2026,,12-07-2026,11:00,Nakuru Hockey Club,Impala,2,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-nakuru-hockey-club-vs-impala/
SLM,2026,,11-07-2026,13:00,Nakuru Hockey Club,Wazalendo Masters,1,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-nakuru-hockey-club-vs-wazalendo-masters/
SLM,2026,113.0,07-06-2026,12:00,Parkroad Badgers,KCA University,2,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-kca-university/
SLM,2026,,20-06-2026,14:00,Parkroad Badgers,Nakuru Hockey Club,3,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-nakuru-hockey-club/
SLM,2026,99.0,06-06-2026,13:00,Parkroad Badgers,Parkroad Tigers,1,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-parkroad-tigers/
SLM,2026,,05-07-2026,15:00,Parkroad Badgers,Strathmore University,1,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-strathmore-university/
SLM,2026,,19-07-2026,15:00,Parkroad Badgers,Wazalendo Masters,1,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-badgers-vs-wazalendo-masters/
SLM,2026,,20-06-2026,12:00,Parkroad Tigers,KCA University,1,7,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-tigers-vs-kca-university/
SLM,2026,,21-06-2026,09:00,Parkroad Tigers,Nakuru Hockey Club,1,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-tigers-vs-nakuru-hockey-club/
SLM,2026,,14-06-2026,11:00,Parkroad Tigers,Strathmore University,0,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-tigers-vs-strathmore-university/
SLM,2026,,18-07-2026,11:00,Parkroad Tigers,Wazalendo Masters,3,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-parkroad-tigers-vs-wazalendo-masters/
SLM,2026,,04-07-2026,13:00,Strathmore University,Impala,3,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-strathmore-university-vs-impala/
SLM,2026,,13-06-2026,13:00,Strathmore University,UON Men,1,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-strathmore-university-vs-uon-men/
SLM,2026,,27-06-2026,14:00,Strathmore University,Wazalendo Masters,2,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-strathmore-university-vs-wazalendo-masters/
SLM,2026,100.0,06-06-2026,15:00,UON Men,KCA University,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-uon-men-vs-kca-university/
SLM,2026,,21-06-2026,13:00,UON Men,Parkroad Badgers,1,4,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-uon-men-vs-parkroad-badgers/
SLM,2026,106.0,07-06-2026,10:00,UON Men,Parkroad Tigers,3,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-uon-men-vs-parkroad-tigers/
SLM,2026,,05-07-2026,13:00,Wazalendo Masters,GHF Blue Pirates,0,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-wazalendo-masters-vs-ghf-blue-pirates/
SLM,2026,,14-06-2026,13:00,Wazalendo Masters,KCA University,0,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-wazalendo-masters-vs-kca-university/
SLM,2026,,04-07-2026,15:00,Wazalendo Masters,UON Men,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-wazalendo-masters-vs-uon-men/
SLW,2026,101.0,06-06-2026,15:00,Black Tigresses,Twinkle Hockey Club,0,6,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-black-tigresses-vs-twinkle-hockey-club/
SLW,2026,,14-06-2026,10:00,Daystar University Ladies,GHF Rift Pirates Ladies,0,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-daystar-university-ladies-vs-ghf-rift-pirates-ladies/
SLW,2026,,04-07-2026,15:00,Daystar University Ladies,Gorillas Hockey Club – Ladies,3,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-daystar-university-ladies-vs-gorillas-hockey-club-ladies/
SLW,2026,,28-06-2026,10:00,Daystar University Ladies,Lakers Hockey Club – B,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-daystar-university-ladies-vs-lakers-hockey-club-b/
SLW,2026,,27-06-2026,12:00,Daystar University Ladies,Wazalendo Pearls,0,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-daystar-university-ladies-vs-wazalendo-pearls/
SLW,2026,,27-06-2026,13:00,GHF Rift Pirates Ladies,Lakers Hockey Club – B,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-ghf-rift-pirates-ladies-vs-lakers-hockey-club-b/
SLW,2026,,11-07-2026,14:00,GHF Rift Pirates Ladies,Mombasa Sports Club Ladies,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-ghf-rift-pirates-ladies-vs-mombasa-sports-club-ladies/
SLW,2026,,21-06-2026,10:00,GHF Rift Pirates Ladies,Twinkle Hockey Club,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-ghf-rift-pirates-ladies-vs-twinkle-hockey-club/
SLW,2026,,11-07-2026,13:00,Lakers Hockey Club – B,Gorillas Hockey Club – Ladies,1,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-lakers-hockey-club-b-vs-gorillas-hockey-club-ladies/
SLW,2026,,19-07-2026,09:00,Lakers Hockey Club – B,Mombasa Sports Club Ladies,0,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-lakers-hockey-club-b-vs-mombasa-sports-club-ladies/
SLW,2026,,20-06-2026,12:00,Lakers Hockey Club – B,Twinkle Hockey Club,3,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-lakers-hockey-club-b-vs-twinkle-hockey-club/
SLW,2026,,21-06-2026,09:00,Mombasa Sports Club Ladies,Wazalendo Pearls,1,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-mombasa-sports-club-ladies-vs-wazalendo-pearls/
SLW,2026,,19-07-2026,09:00,Swans Hockey Club,GHF Rift Pirates Ladies,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-swans-hockey-club-vs-ghf-rift-pirates-ladies/
SLW,2026,,18-07-2026,13:00,Swans Hockey Club,Lakers Hockey Club – B,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-swans-hockey-club-vs-lakers-hockey-club-b/
SLW,2026,97.0,06-06-2026,13:00,Swans Hockey Club,Mombasa Sports Club Ladies,1,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-swans-hockey-club-vs-mombasa-sports-club-ladies/
SLW,2026,,20-06-2026,12:30,Swans Hockey Club,Wazalendo Pearls,1,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-swans-hockey-club-vs-wazalendo-pearls/
SLW,2026,,05-07-2026,10:00,Twinkle Hockey Club,Daystar University Ladies,2,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-twinkle-hockey-club-vs-daystar-university-ladies/
SLW,2026,,13-06-2026,11:00,Wazalendo Pearls,GHF Rift Pirates Ladies,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-wazalendo-pearls-vs-ghf-rift-pirates-ladies/
SLW,2026,,05-07-2026,11:00,Wazalendo Pearls,Gorillas Hockey Club – Ladies,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-wazalendo-pearls-vs-gorillas-hockey-club-ladies/
SLW,2026,108.0,07-06-2026,11:00,Wazalendo Pearls,Twinkle Hockey Club,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-wazalendo-pearls-vs-twinkle-hockey-club/
NLM-EZ,2026,,18-07-2026,11:00,Black Tigers,Daystar University Men,4,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-black-tigers-vs-daystar-university-men/
NLM-EZ,2026,,19-07-2026,15:00,Black Tigers,Gorillas,0,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-black-tigers-vs-gorillas/
NLM-EZ,2026,,11-07-2026,10:30,Black Tigers,Parklands Sports Club – Legacy,2,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-black-tigers-vs-parklands-sports-club-legacy/
NLM-EZ,2026,,06-06-2026,13:00,Black Tigers,UoN Cubs,1,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-black-tigers-vs-uon-cubs/
