Competition,Season,MatchNo,Date,HomeTeam,AwayTeam,Minute,Event,Player,Team
PLM,2026,37.0,06-06-2026,Kisumu Youngsters,Parklands Sports Club,27',Goal,Duncan Kachisa,Kisumu Youngsters
PLM,2026,37.0,06-06-2026,Kisumu Youngsters,Parklands Sports Club,12',Green Card,Brian Oyato,Parklands Sports Club
PLM,2026,37.0,06-06-2026,Kisumu Youngsters,Parklands Sports Club,41',Green Card,Asher Ochieng,Kisumu Youngsters
PLM,2026,37.0,06-06-2026,Kisumu Youngsters,Parklands Sports Club,60',Yellow card,Willis Wanjala,Kisumu Youngsters
PLM,2026,46.0,07-06-2026,Kisumu Youngsters,USIU – A,14',Yellow card,Kevin Shikanga,Kisumu Youngsters
PLM,2026,46.0,07-06-2026,Kisumu Youngsters,USIU – A,19',Goal,Malack Masese,Kisumu Youngsters
PLM,2026,46.0,07-06-2026,Kisumu Youngsters,USIU – A,42',Green Card,David Omindo,Kisumu Youngsters
PLM,2026,46.0,07-06-2026,Kisumu Youngsters,USIU – A,50',Green Card,Duncan Kachisa,Kisumu Youngsters
PLM,2026,46.0,07-06-2026,Kisumu Youngsters,USIU – A,57',Goal,Malack Masese,Kisumu Youngsters
PLM,2026,46.0,07-06-2026,Kisumu Youngsters,USIU – A,58',Green Card,Samson Sananka Ratia,USIU – A
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,6',Green Card,Moses Omamu,Parklands Sports Club
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,13',Goal,Eudgas Lirhu,Parklands Sports Club
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,15',Green Card,Aredha Mandela,Parklands Sports Club
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,20',Goal,Bonny Ndombi,Daikyo Heroes
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,21',Yellow card,Daniel Matara,Parklands Sports Club
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,38',Green Card,Wycliffe Wanyonyi,Parklands Sports Club
PLM,2026,19.0,30-05-2026,Parklands Sports Club,Daikyo Heroes,41',Goal,Joseph Kasua,Daikyo Heroes
